,Driver ID,Driver Onboard Date,Number of Rides,Average Ride Distance in Miles,Average Ride Duration in Minutes,Percentage of Prime Rides:,Total Revenue:,Average Ride Revenue,Week 1 Rides,Week 2 Rides,Week 3 Rides,Week 4 Rides,Week 5 Rides,Week 6 Rides,Week 7 Rides,Week 8 Rides,Week 9 Rides,Week 10 Rides,Week 11 Rides,Week 12 Rides,Week 13 Rides,First Ride Week,Last Ride Week,Number of Days Driven,Total Late Night,Total Morning,Total Day,Total Night,Percent of Rides in Morning,Percent of Rides in Day,Percent of Rides in Night,Percent of Rides in Late Night
0,002be0ffdc997bd5c50703158b7c2491,2016-03-29,277,3.903851609,13.31155235,39.71119134,3654.988571,13.19490459,26,11,43,29,3,10,3,26,14,35,41,17,19,1,13,56,62,49,46,120,0.176895307,0.166064982,0.433212996,0.223826715
1,007f0389f9c7b03ef97098422f902e62,2016-03-29,31,2.355824487,11.01989247,38.70967742,332.4324481,10.72362736,1,1,0,5,6,3,0,6,0,5,0,2,2,1,13,12,0,0,9,22,0,0.290322581,0.709677419,0
2,011e5c5dfc5c2c92501b8b24d47509bc,2016-04-05,34,4.928088899,14.31617647,47.05882353,494.2408903,14.53649677,0,7,4,0,1,5,2,5,5,0,5,0,0,2,11,12,2,4,5,23,0.117647059,0.147058824,0.676470588,0.058823529
3,0152a2f305e71d26cc964f8d4411add9,2016-04-23,191,4.78632358,15.22870855,25.13089005,2646.746561,13.85731184,0,0,0,0,25,17,14,0,24,24,25,20,42,5,13,40,76,58,24,33,0.303664921,0.12565445,0.172774869,0.397905759
4,01674381af7edd264113d4e6ed55ecda,2016-04-29,375,5.175859255,15.88635556,26.4,5463.347539,14.56892677,0,0,0,0,5,50,46,36,51,42,40,51,54,5,13,40,0,235,140,0,0.626666667,0.373333333,0,0
5,01788cf817698fe68eaecd7eb18b2f72,2016-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0
6,0213f8b59219e32142711992ca4ec01f,2016-04-07,240,4.038705308,12.49152778,23.75,2984.472742,12.43530309,0,14,45,43,60,78,0,0,0,0,0,0,0,2,6,25,82,0,3,155,0,0.0125,0.645833333,0.341666667
7,021e5cd15ef0bb3ec20a12af99e142b3,2016-05-07,53,3.020926661,15.86383648,49.05660377,707.242111,13.34419077,0,0,0,0,0,4,4,11,12,4,1,1,16,6,13,17,0,5,20,28,0.094339623,0.377358491,0.528301887,0
8,0258e250ca195cc6258cbdc75aecd853,2016-04-26,302,5.071004386,14.8540287,29.47019868,4340.865085,14.37372545,0,0,0,0,17,17,26,50,21,37,49,45,40,5,13,42,39,10,80,173,0.033112583,0.264900662,0.572847682,0.129139073
9,028b5a4dcd7f4924ebfabcf2e814c014,2016-05-06,363,5.054209893,16.09591368,27.54820937,5267.093493,14.50989943,0,0,0,0,0,23,33,41,52,51,74,39,50,6,13,39,1,127,178,57,0.349862259,0.490358127,0.157024793,0.002754821
10,02d6a6b8a6da15fc219a9570f7ebbe78,2016-05-03,62,16.03260924,25.93736559,9.677419355,1570.011867,25.32277205,0,0,0,0,0,13,7,9,2,0,9,15,7,6,13,21,0,30,32,0,0.483870968,0.516129032,0,0
11,02e440f6c209206375833cef02e0cbae,2016-03-31,56,5.053924058,14.88720238,23.21428571,798.3314624,14.25591897,4,2,0,33,8,0,8,1,0,0,0,0,0,1,8,14,11,5,11,29,0.089285714,0.196428571,0.517857143,0.196428571
12,036f3d94e7c65e4e3574822d31c72656,2016-04-09,204,4.827158472,16.44852941,22.54901961,2999.15862,14.70175794,0,2,9,3,19,23,12,18,24,16,33,24,21,2,13,62,0,94,87,23,0.460784314,0.426470588,0.112745098,0
13,039c5afbca8e03e4c18d9c8ea94140ac,2016-04-12,38,4.015245217,13.34649123,21.05263158,478.4217215,12.5900453,0,0,12,6,8,3,0,1,6,0,2,0,0,3,11,24,3,0,0,35,0,0,0.921052632,0.078947368
14,039da9c077e17af98ca8530e4d7975f1,2016-05-04,396,3.33624594,12.7581229,47.22222222,5020.825044,12.67885112,0,0,0,0,0,59,70,54,58,65,35,0,55,6,13,43,138,52,17,189,0.131313131,0.042929293,0.477272727,0.348484848
15,03f2b5c74cb89f39e58711699e76bf39,2016-04-10,223,3.786520068,16.00904335,33.1838565,2974.219616,13.33730769,0,3,21,33,20,5,0,12,18,26,0,49,36,2,13,32,0,15,173,35,0.067264574,0.775784753,0.156950673,0
16,03f5278eb43475aa6790f5be32463755,2016-04-12,370,3.805142212,14.50418919,37.83783784,4974.125852,13.44358338,0,0,21,22,25,23,27,21,11,23,61,71,65,3,13,45,0,222,92,56,0.6,0.248648649,0.151351351,0
17,0430df9a3eb327122c57ee3a64765000,2016-04-05,43,3.674046937,13.81356589,18.60465116,508.7808051,11.83211175,0,26,17,0,0,0,0,0,0,0,0,0,0,2,3,8,0,0,8,35,0,0.186046512,0.813953488,0
18,04c4ffa5a385eab86fa7e422263d2999,2016-04-07,55,5.266902186,17.3769697,40,911.1366944,16.56612172,0,19,15,12,0,9,0,0,0,0,0,0,0,2,6,13,7,21,12,15,0.381818182,0.218181818,0.272727273,0.127272727
19,04d686ef2fba281e395992a28f14fdd3,2016-05-14,318,5.050800934,14.20791405,30.18867925,4646.879365,14.61282819,0,0,0,0,0,0,8,45,41,54,65,63,42,7,13,29,21,225,63,9,0.70754717,0.198113208,0.028301887,0.066037736
20,052bba06c5fc0bdea4bc2f9cb92b37c7,2016-04-15,56,4.01466706,13.98988095,25,751.478107,13.41925191,0,0,16,18,0,6,11,0,2,0,0,0,3,3,13,12,0,6,20,30,0.107142857,0.357142857,0.535714286,0
21,059ed570673c2d15ca11dd6b3a25513b,2016-05-12,32,6.092715026,16.94479167,25,510.3893832,15.94966823,0,0,0,0,0,0,6,4,4,10,3,2,3,7,13,11,0,10,20,2,0.3125,0.625,0.0625,0
22,05addf442c147875efa5cf53453ad47b,2016-04-08,344,4.058822973,14.44777132,45.34883721,4985.052672,14.49143219,0,36,42,39,39,17,26,37,46,8,4,31,19,2,13,52,108,45,68,123,0.130813953,0.197674419,0.35755814,0.313953488
23,05bad02e08c7f849e91dc1259da8b4ec,2016-05-12,46,5.536714754,15.39782609,28.26086957,723.9710209,15.73850045,0,0,0,0,0,0,7,12,12,5,10,0,0,7,11,14,15,1,7,23,0.02173913,0.152173913,0.5,0.326086957
24,0656192a402808805282e60761bda088,2016-04-30,315,5.209131378,13.27873016,32.06349206,4555.372298,14.46149936,0,0,0,0,13,40,32,33,49,23,50,47,28,5,13,43,191,29,9,86,0.092063492,0.028571429,0.273015873,0.606349206
25,06b1ba06e5505f8218ec8686498f990a,2016-05-11,44,3.135065532,13.29772727,54.54545455,579.0391429,13.15998052,0,0,0,0,0,0,16,26,2,0,0,0,0,7,9,7,1,11,25,7,0.25,0.568181818,0.159090909,0.022727273
26,06c848ab3a7fc5421e82e98850a81710,2016-04-20,400,3.910253582,13.23066667,31,5012.018485,12.53004621,0,0,0,9,48,35,70,66,32,24,44,23,49,4,13,60,64,6,163,167,0.015,0.4075,0.4175,0.16
27,07dd442e3e0b9f0f9b0d69c7b47cbb06,2016-04-08,286,3.648144516,14.62511655,19.93006993,3468.083371,12.12616563,0,17,34,23,40,0,36,6,16,34,22,48,10,2,13,39,6,60,126,94,0.20979021,0.440559441,0.328671329,0.020979021
28,07e6a2fdaadc640cca9a7bec41351065,2016-05-14,22,2.996118115,11.53560606,36.36363636,259.4496645,11.79316657,0,0,0,0,0,0,4,1,0,0,11,6,0,7,12,7,8,1,1,12,0.045454545,0.045454545,0.545454545,0.363636364
29,081d8ba3bc9a00a481df02bd9d0a4c53,2016-04-04,192,2.963714939,13.40833333,35.41666667,2215.078136,11.53686529,0,29,0,0,4,13,0,0,8,39,37,41,21,2,13,29,1,6,168,17,0.03125,0.875,0.088541667,0.005208333
30,0822973f3e812a68a867962dbbd37f5d,2016-05-08,36,3.104499015,11.79814815,38.88888889,409.2473484,11.3679819,0,0,0,0,0,1,9,8,13,5,0,0,0,6,10,15,30,0,0,6,0,0,0.166666667,0.833333333
31,08a1491d6a804e0af969f08252ddbbd8,2016-04-16,571,4.153828863,15.59696439,42.73204904,8327.675441,14.5843703,0,0,1,42,62,44,53,55,58,58,64,61,73,3,13,64,51,70,120,330,0.122591944,0.210157618,0.57793345,0.089316988
32,08b2b063cce8d02495c4b880293f153c,2016-04-20,522,4.527499124,15.97602171,42.91187739,7802.987122,14.94825119,0,0,0,1,54,52,71,76,69,47,46,29,77,4,13,56,7,109,242,164,0.208812261,0.463601533,0.314176245,0.013409962
33,0938ed763cb3129ae63607aaf69daff5,2016-03-30,38,2.420524792,13.49210526,18.42105263,396.2320605,10.42715949,12,6,0,0,7,9,0,0,0,1,0,0,3,1,13,12,0,0,31,7,0,0.815789474,0.184210526,0
34,0abc4faab8bbdf4d62412655fe0a2398,2016-05-03,46,3.478849823,11.36666667,47.82608696,596.4564566,12.96644471,0,0,0,0,0,41,2,0,0,3,0,0,0,6,10,6,14,0,0,32,0,0,0.695652174,0.304347826
35,0afc0241296972b583debd7c5f5c707c,2016-04-05,428,3.79141609,14.64696262,42.52336449,5717.325877,13.35823803,0,65,19,0,0,37,60,23,52,50,47,66,9,2,13,46,30,121,101,176,0.28271028,0.235981308,0.411214953,0.070093458
36,0b10af0ede0648dbe6ae05813c5cbf1b,2016-05-13,38,3.792352275,10.56184211,34.21052632,461.4390028,12.14313165,0,0,0,0,0,0,18,6,1,8,5,0,0,7,11,8,22,0,1,15,0,0.026315789,0.394736842,0.578947368
37,0b631e16fa61f7321da18cf35a076d5f,2016-04-13,394,3.761479861,14.40291878,48.73096447,5503.148861,13.9673829,0,0,8,20,7,32,30,69,44,42,48,55,39,3,13,60,33,140,67,154,0.355329949,0.170050761,0.390862944,0.083756345
